标题,链接,日期,详情（前50字）
校党委书记苏为泽到海洋旅游学院调研党建工作,https://www.zimc.cn/info/1060/40252.htm,2022-09-29,为进一步提高学校党建工作质量，抓实新时代基层党建工作，9月28日下午，校党委书记苏为泽到海洋旅游学院
我校组织师生收看中国共产党第二十次全国代表大会直播,https://www.zimc.cn/info/1060/40409.htm,2022-10-16,10月16日上午，举世瞩目的中国共产党第二十次全国代表大会在北京隆重召开。当天上午十时整，我校师生满
一起向未来——学校举行2022级新生开学典礼暨军训动员大会,https://www.zimc.cn/info/1060/40133.htm,2022-09-17,9月16日上午，学校2022级新生开学典礼暨军训动员大会在田径场举行。校党委副书记、校长吴中平，承训
学校党委理论学习中心组举行《中共舟山市委 舟山市人民政府关…,https://www.zimc.cn/info/1060/40411.htm,2022-10-17,10月14日，校党委理论学习中心组在行政楼309会议室举行了2022年第10次集体学习会。会议主题是
新学期开课第一天教学运行井然有序,https://www.zimc.cn/info/1060/40043.htm,2022-09-08,暑去秋来，天高气清，美丽的校园又迎来了新的学期。9月6日是学校新学期开课第一天，海运师生以饱满的精神
象山县教育局、宁波海洋职业技术学校来校交流,https://www.zimc.cn/info/1060/40369.htm,2022-10-12,10月12日上午，象山县教育局职教科科长陈红飞、宁波海洋职业技术学校党委书记潘永毅等一行来我校交流、
我校获批浙江省技能人才评价省级题库开发项目牵头开发单位,https://www.zimc.cn/info/1060/40028.htm,2022-09-07,为进一步加强技能人才评价技术资源建设，满足技能等级认定工作需要，近日，浙江省人力资源和社会保障厅发布
“病毒无情，青春有爱”——海运学子张哲铭疫情防控显担当,https://www.zimc.cn/info/1060/40063.htm,2022-09-10,近日，海洋装备工程学院收到了一封来自舟山市岱山县高亭镇人民政府的感谢信，信中对学院2021级港口机械
学校举行庆祝第38个教师节暨优秀教师表彰大会,https://www.zimc.cn/info/1060/40062.htm,2022-09-09,金秋九月，向阳花开。9月9日下午，学校庆祝第38个教师节暨优秀教师表彰大会在图书馆四楼报告厅举行。今
香港船东会副总监冯佳培先生来校走访交流,https://www.zimc.cn/info/1060/40079.htm,2022-09-13,9月8日，香港船东会副总监冯佳培先生在舟山东方船员服务有限公司董事长刘静波的陪同下来校走访交流。校党
吴中平校长讲授开学第一课,https://www.zimc.cn/info/1060/40402.htm,2022-10-14,10月12日下午，校党委副书记、校长吴中平通过网络直播的形式给全体2022级新同学上开学第一课。吴中
风雨同舟！你好，2022级新同学！,https://www.zimc.cn/info/1060/40099.htm,2022-09-14,9月13日-14日，虽受12号台风“梅花”影响风雨来袭，但并未阻挡2022级新生们以独立姿态开启大学
学校召开党委扩大会议传达学习党的二十大精神,https://www.zimc.cn/info/1060/40506.htm,2022-10-30,10月28日，学校在行政楼401会议室召开党委扩大会议，传达学习党的二十大精神。学校党政班子成员，各
奋勇追梦新征程——学校第十七届田径运动会精彩开幕,https://www.zimc.cn/info/1060/40550.htm,2022-11-01,秋风送爽，旌旗飘扬。11月1日上午，学校第十七届田径运动会在田径场隆重开幕。校领导吴中平、孔志光、江
学校全力做好防御台风“梅花”准备工作,https://www.zimc.cn/info/1060/40114.htm,2022-09-13,今年第12号台风“梅花”预计将于9月14日夜间正面登陆舟山，学校根据省市要求，第一时间启动防台应急预
“青春献礼二十大 奋进担当向未来”——我校第五次学生代表大…,https://www.zimc.cn/info/1060/40538.htm,2022-10-31,10月30日，我校第五次学生代表大会在董浩云图书馆四楼报告厅隆重召开。校党委副书记孔志光，浙江舟山群
